Feature ID	Taxon	Confidence
04fc7ab6db5f4682a114584951d708ec	k__Bacteria; p__Armatimonadetes; c__[Fimbriimonadia]; o__[Fimbriimonadales]; f__[Fimbriimonadaceae]; g__Fimbriimonas; s__	0.998979830504622
050d8cac44f1185ba6a3c8c96044cd05	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__; s__	0.9339349757040615
0515eeef91bf4acdc2ee913ea7fb660c	k__Bacteria; p__NKB19; c__TSBW08; o__; f__; g__; s__	0.9999901717982824
053456eb8058c529fba911ffb0825409	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__; g__; s__	0.9617786172503483
053da83fe926b80bde24e7818dfa1c86	k__Bacteria; p__Chlorobi; c__BSV26; o__A89; f__; g__; s__	0.9999997585142218
055ec7f256834a466493df3c9f5d9da3	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bacteriovoracaceae; g__Bacteriovorax; s__	0.9663370979244273
0578e87c4c3192e3416f37f14d75fa82	k__Bacteria; p__OD1; c__; o__; f__; g__; s__	0.9978903239672351
057e68cbd0dfcc7d7019c3bd44f76e91	k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__A31; f__S47; g__; s__	0.999999166654141
059683ef62366626bcb3a68fde1f29c2	k__Bacteria; p__Verrucomicrobia; c__[Methylacidiphilae]; o__Methylacidiphilales; f__; g__; s__	0.9999870625157166
05da717399565f48a0c4cd0de3500c78	k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__WD2101; f__; g__; s__	0.999993933283704
065f04e03ac5a90ea11b6695802ef4aa	k__Bacteria; p__ZB3; c__BS119; o__; f__; g__; s__	0.9977029707421006
06685da9ccbe462b2583bddb33e561ea	k__Bacteria; p__Bacteroidetes	0.9999999998162051
068bf77998f943842590c0c038793307	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__	0.9238887854115663
06a6586aaefba6d7215f6ab713e1943f	k__Bacteria; p__Verrucomicrobia; c__[Methylacidiphilae]; o__Methylacidiphilales; f__; g__; s__	0.8213393538323465
06ab953963a79a9b71d1a7710fadf038	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Sporocytophaga; s__	0.9410997366223455
06e10b2fc6e94c07080ed97b68ce871f	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__; g__; s__	0.9454419831842192
070834989c8fa27d0a7c8e9d2a6cda27	k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__A4b; g__; s__	0.9999999879677121
070b132660d8f4c85ffddd33ce78480f	k__Archaea; p__[Parvarchaeota]; c__[Parvarchaea]; o__YLA114; f__; g__; s__	0.999999999483947
0793d191d57c01fa8241ed83866da4e7	k__Bacteria; p__BHI80-139; c__; o__; f__; g__; s__	0.9196876180152035
07ab7059aed408fd9bca8d13f26176a1	k__Bacteria; p__GN02; c__BD1-5; o__; f__; g__; s__	0.8580975418055977
07d2aa2fe18aa7a27d5ec7c59590d798	k__Bacteria; p__GN02; c__BD1-5; o__; f__; g__; s__	0.9999893622088164
07db99cf2af4033f861a4ea06b318791	k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales]	0.9999999838546736
07deb67e26fa721072dc4458cf29a400	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria; g__; s__	0.8121194820543393
0821f767be3194c89d54d9ff37bb164c	k__Bacteria	0.9725028487477607
082b3d7e42fc5f824d2dfa1b26e87db3	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__FAC87; f__; g__; s__	0.7659111921826907
082bcf03fcb3a8ee17429fd8a708d93d	k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales]	0.9999972467043368
082f4f0fa1dd1684e8edc6af762132d3	k__Bacteria; p__Cyanobacteria; c__ML635J-21; o__; f__; g__; s__	0.9999071338951894
08620ab2f70acc943404ba7d7b3e6f8f	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio; s__	0.9999999520717477
087e5ee5827633f70cb7f14d8d42ee5c	k__Bacteria; p__Elusimicrobia; c__Elusimicrobia; o__Elusimicrobiales; f__; g__; s__	0.99999999997803
089adf6a63c0813d3c03a34f54cd309c	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__; f__; g__; s__	0.9958358510872991
08b435ac2009aacbfa433da2587f9529	k__Bacteria; p__OP3; c__koll11; o__; f__; g__; s__	0.9990012110829264
08bba2b13f77afcdadc48cb743847e2f	k__Bacteria; p__Proteobacteria	0.8250684859321222
08bf568e39204bd5aac37e74b5f51fce	k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__	0.9999921043119779
08e9418051df37fa30e1b8fbda78ca4a	k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales]; f__; g__; s__	0.9307235690129347
090a3247bb3b92b46f8bddd482567538	k__Bacteria; p__TM6; c__SJA-4; o__; f__; g__; s__	0.9999998563097098
091c251cac7cb09f15c5af105ca3ba88	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria; g__; s__	0.9908505254777169
09255e50dd99327169811bd480157301	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Ktedonobacterales; f__Ktedonobacteraceae; g__; s__	0.9961099024371151
096b2649fab2e1938c0d0c63c0b77615	k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__CCM11a; f__; g__; s__	0.999999991182392
099579ae4cb828e7963249298543f6dc	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria	0.9999999869610326
09a129ea3a94cfa7610bd9f74aee6e27	k__Archaea; p__[Parvarchaeota]; c__[Parvarchaea]; o__WCHD3-30; f__; g__; s__	0.9999994722138837
09abc0a75b6cedd0bd3464ea9d691972	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__; g__; s__	0.9999999998735092
09ecbcf823c7ca434a9db2853d1999ef	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__; g__; s__	0.999999999999929
09ecbf487e3802ce4449a928d20bb429	k__Bacteria; p__Proteobacteria	0.8171781490503446
